x,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17,reference_18,reference_19,reference_20,reference_21,reference_22,reference_23,reference_24,reference_25,reference_26,reference_27,reference_28,reference_29,reference_30,reference_31,reference_32,reference_33,reference_34,reference_35,reference_36,reference_37,reference_38,reference_39,reference_40,reference_41,reference_42,reference_43,reference_44,reference_45,reference_46,reference_47,reference_48,reference_49,reference_50
0.01,-0.006683800932020145,-0.10173706341401667,-0.1967903258960132,-0.29184358837800967,-0.38689685086000625,-0.4819501133420028,-0.5805178723019525,-0.7335603266701796,-0.8866027810384065,-1.0396452354066335,-1.1926876897748604,-1.3457301441430873,-1.4985317139093945,-1.6495868703117837,-1.8006420267141734,-1.9516971831165626,-2.102752339518952,-2.253807495921341,-2.405011869977363,-2.5568877234747336,-2.7087635769721032,-2.8606394304694733,-3.012515283966843,-3.164391137464213,-3.3228871479477893,-3.5020711490132608,-3.6812551500787323,-3.860439151144205,-4.039623152209677,-4.218807153275148,-4.383108672542354,-4.513180483673548,-4.643252294804742,-4.773324105935935,-4.9033959170671295,-5.033467728198323,-5.180256499366462,-5.3562999505992535,-5.532343401832046,-5.708386853064837,-5.884430304297629,-6.0604737555304204,-6.291574434460521,-6.597395636694112,-6.903216838927704,-7.153471672426688,-7.3370468634441455,-7.520622054461603,-6.465712273838537,-4.094912210847378
0.02,-0.20642347557486637,-0.29711707875813154,-0.3878106819413968,-0.4785042851246619,-0.5691978883079272,-0.6598914914911924,-0.751848165360248,-0.863382434859056,-0.9749167043578637,-1.0864509738566714,-1.1979852433554794,-1.3095195128542871,-1.4216717368638223,-1.5383041310761316,-1.6549365252884412,-1.7715689195007505,-1.8882013137130598,-2.004833707925369,-2.1239088624677147,-2.2539764384952243,-2.3840440145227335,-2.514111590550243,-2.6441791665777523,-2.7742467426052615,-2.9107263356676114,-3.0672434819638372,-3.2237606282600635,-3.38027777455629,-3.5367949208525165,-3.6933120671487423,-3.823234891333553,-3.891990774662108,-3.9607466579906627,-4.029502541319218,-4.0982584246477725,-4.167014307976328,-4.268804724658988,-4.4284055747113324,-4.5880064247636785,-4.747607274816024,-4.907208124868369,-5.066808974920714,-5.217581658443575,-5.356373258819279,-5.495164859194984,-5.607903837546811,-5.689379669469984,-5.770855501393157,-4.924652207060182,-3.0927898410800228
0.03,-0.280027579173923,-0.36133015803625923,-0.4426327368985955,-0.5239353157609318,-0.6052378946232679,-0.6865404734856042,-0.7687804882389452,-0.8655507593028594,-0.9623210303667735,-1.0590913014306877,-1.155861572494602,-1.252631843558516,-1.3501786391201838,-1.453355237290565,-1.5565318354609463,-1.6597084336313273,-1.7628850318017084,-1.8660616299720894,-1.968416896946566,-2.067076173539472,-2.165735450132378,-2.2643947267252833,-2.3630540033181893,-2.461713279911095,-2.5669420285594002,-2.69270037738083,-2.81845872620226,-2.9442170750236905,-3.0699754238451202,-3.19573377266655,-3.3088109291629526,-3.392721343311793,-3.4766317574606336,-3.560542171609474,-3.6444525857583145,-3.728362999907155,-3.8325568207867,-3.9722466034449773,-4.111936386103256,-4.2516261687615335,-4.391315951419811,-4.5310057340780885,-4.649274982278279,-4.738473505142496,-4.827672028006711,-4.899901255207114,-4.9517673276109395,-5.003633400014765,-4.26124000060343,-2.6749459123884627
0.04,-0.3536316827729796,-0.4255432373143869,-0.49745479185579417,-0.5693663463972014,-0.6412779009386087,-0.713189455480016,-0.7857128111176422,-0.8677190837466628,-0.9497253563756833,-1.0317316290047038,-1.1137379016337245,-1.195744174262745,-1.2786855413765452,-1.368406343504998,-1.458127145633451,-1.5478479477619038,-1.6375687498903566,-1.7272895520188096,-1.8129249314254168,-1.8801759085837193,-1.9474268857420216,-2.014677862900324,-2.081928840058626,-2.1491798172169285,-2.22315772145119,-2.3181572727978232,-2.4131568241444565,-2.5081563754910903,-2.6031559268377236,-2.698155478184357,-2.794386966992352,-2.8934519119614777,-2.992516856930604,-3.09158180189973,-3.190646746868856,-3.289711691837982,-3.3963089169144114,-3.5160876321786216,-3.6358663474428323,-3.7556450627070426,-3.8754237779712524,-3.9952024932354626,-4.080968306112983,-4.120573751465711,-4.160179196818439,-4.191898672867417,-4.214154985751895,-4.236411298636373,-3.597827794146677,-2.257101983696902
0.05,-0.40819180383592946,-0.47320714654181406,-0.5382224892476987,-0.6032378319535832,-0.6682531746594678,-0.7332685173653524,-0.798546041356332,-0.8678873752662836,-0.9372287091762351,-1.0065700430861866,-1.0759113769961384,-1.14525271090609,-1.2156609411494559,-1.2938041698100768,-1.3719473984706978,-1.4500906271313188,-1.5282338557919397,-1.6063770844525607,-1.6822935678767015,-1.7481896977366824,-1.8140858275966631,-1.879981957456644,-1.9458780873166248,-2.0117742171766055,-2.082961743541068,-2.1706848839820356,-2.258408024423004,-2.346131164863972,-2.4338543053049397,-2.5215774457459075,-2.6086473673914483,-2.694214885807506,-2.779782404223564,-2.8653499226396217,-2.950917441055679,-3.036484959471737,-3.1233351910976275,-3.2124301708407246,-3.3015251505838226,-3.39062013032692,-3.479715110070017,-3.5688100898131148,-3.6431542534744294,-3.6974794524533254,-3.7518046514322214,-3.792821407839652,-3.8178680331613233,-3.8429146584829947,-3.24822232517667,-1.9950573483280818
0.06,-0.42253037478398614,-0.48261993501023615,-0.5427094952364862,-0.6027990554627362,-0.6628886156889862,-0.7229781759152363,-0.7832527898478576,-0.8463957362292357,-0.9095386826106138,-0.9726816289919918,-1.03582457537337,-1.0989675217547479,-1.1628701262152532,-1.2322802517494305,-1.3016903772836081,-1.3711005028177854,-1.4405106283519629,-1.5099207538861403,-1.5782868387581723,-1.6419547406505517,-1.7056226425429308,-1.76929054443531,-1.8329584463276891,-1.8966263482200683,-1.9639905726266058,-2.042905804889889,-2.1218210371531727,-2.2007362694164563,-2.27965150167974,-2.358566733943023,-2.436864507311675,-2.513742125222674,-2.5906197431336735,-2.667497361044673,-2.7443749789556717,-2.821252596866671,-2.8973772806085596,-2.972184329554504,-3.046991378500449,-3.1217984274463935,-3.196605476392338,-3.2714125253382824,-3.341839316119649,-3.4063214708205174,-3.470803625521386,-3.516167850592303,-3.538590560107278,-3.5610132696222534,-2.999098231029708,-1.8163243350729044
0.07,-0.4368689457320428,-0.49203272347865823,-0.5471965012252736,-0.602360278971889,-0.6575240567185044,-0.71268783446512,-0.7679595383393831,-0.8249040971921877,-0.8818486560449923,-0.9387932148977969,-0.9957377737506015,-1.052682332603406,-1.1100793112810505,-1.1707563336887843,-1.2314333560965183,-1.2921103785042523,-1.352787400911986,-1.4134644233197198,-1.474456863778826,-1.5368686854691085,-1.5992805071593907,-1.661692328849673,-1.7241041505399552,-1.7865159722302373,-1.850733291762042,-1.920592792048605,-1.9904522923351677,-2.060311792621731,-2.130171292908294,-2.2000307931948564,-2.269267626951229,-2.3370723276881633,-2.404877028425098,-2.4726817291620327,-2.540486429898967,-2.608291130635902,-2.67332241686898,-2.733500227720309,-2.793678038571638,-2.8538558494229673,-2.9140336602742964,-2.974211471125625,-3.0405243787648684,-3.115163489187709,-3.18980259961055,-3.239514293344954,-3.2593130870532327,-3.279111880761512,-2.7499741368827455,-1.6375913218177267
0.08,-0.4452648316563456,-0.4966173760481833,-0.5479699204400209,-0.5993224648318586,-0.6506750092236963,-0.702027553615534,-0.7535796388211349,-0.8082246066400668,-0.8628695744589986,-0.9175145422779304,-0.9721595100968623,-1.026804477915794,-1.081609183853406,-1.1375719911514504,-1.1935347984494948,-1.2494976057475389,-1.3054604130455831,-1.3614232203436274,-1.4178391993916026,-1.476294451314268,-1.534749703236933,-1.5932049551595981,-1.651660207082263,-1.7101154590049283,-1.7694283102654869,-1.8314211594569627,-1.8934140086484386,-1.9554068578399149,-2.017399707031391,-2.079392556222867,-2.142257969591019,-2.2071302805655266,-2.272002591540035,-2.3368749025145426,-2.4017472134890507,-2.4666195244635585,-2.52603111122763,-2.575886430623437,-2.6257417500192446,-2.6755970694150517,-2.725452388810859,-2.775307708206666,-2.8301181369339807,-2.8916533568969136,-2.9531885768598465,-2.9985529807839972,-3.0245124054616084,-3.05047183013922,-2.5397676234921365,-1.4588583085625495
0.09,-0.4472169922970814,-0.4960818933245028,-0.5449467943519243,-0.5938116953793456,-0.6426765964067671,-0.6915414974341885,-0.7406940709169632,-0.7943055674577132,-0.8479170639984631,-0.901528560539213,-0.9551400570799631,-1.008751553620713,-1.0620820804120648,-1.1133755765202806,-1.1646690726284965,-1.2159625687367124,-1.267256064844928,-1.318549560953144,-1.3701440543906898,-1.4230930358102207,-1.4760420172297515,-1.5289909986492825,-1.5819399800688132,-1.6348889614883442,-1.6881233287689315,-1.7422495268653204,-1.7963757249617096,-1.8505019230580988,-1.9046281211544878,-1.9587543192508767,-2.015248312230809,-2.0771882334428904,-2.139128154654972,-2.201068075867053,-2.2630079970791344,-2.324947918291216,-2.3787927695977436,-2.418471248569552,-2.458149727541361,-2.4978282065131694,-2.537506685484978,-2.5771851644567865,-2.622566524012816,-2.6756875072188606,-2.7288084904249046,-2.772186303019661,-2.803872310880871,-2.835558318742081,-2.3386549260621927,-1.2801252953073718
0.1,-0.4471243382245515,-0.4936127842596812,-0.5401012302948109,-0.5865896763299406,-0.6330781223650703,-0.6795665684002,-0.726270742944615,-0.7763187093829521,-0.8263666758212891,-0.8764146422596261,-0.9264626086979632,-0.9765105751363001,-1.0261904755289883,-1.0732018970907218,-1.1202133186524552,-1.1672247402141889,-1.2142361617759223,-1.2612475833376557,-1.3087247897195313,-1.358298027792047,-1.4078712658645625,-1.4574445039370778,-1.5070177420095932,-1.5565909800821085,-1.60667480769517,-1.6583542276224386,-1.7100336475497069,-1.7617130674769754,-1.8133924874042437,-1.865071907331512,-1.917631719783018,-1.9722164350402698,-2.026801150297522,-2.0813858655547737,-2.1359705808120255,-2.190555296069278,-2.239242663296159,-2.277609671469891,-2.315976679643623,-2.354343687817355,-2.3927106959910875,-2.4310777041648195,-2.4715238642257242,-2.5147917304192204,-2.558059596612716,-2.594480136674771,-2.6226838853790957,-2.650887634083421,-2.154714942154322,-1.1013922820521944
